taxa;Taxon;Pathogen;Pathogenicity;Origin;Origin_verbatim;Origin_verbatim;Origin_details;;;"""=SE(CONTA.SE(G:G; J13)=0; ""NUOVO""; """")""";DATI FILTRA NUOVO - COPIA;
;Hellea;N;N;E;Environmental;Marine;Marine bacterium;;;;;
;Henriciella;N;N;E;Environmental;Freshwater, soil;Environmental bacterium;;;;;
;Hephaestia;N;N;E;Environmental;Marine;Marine bacterium;;;;;
G;Herbaspirillum;PP;1;E;Environmental;Soil, Plant;Nitrogen-fixing plant symbiont;;;;;
;Herbiconiux;N;N;E;Environmental;Plant;Endophyte in plants;;;;;
;Herbinix;N;N;W;Anthropogenic;Anaerobic digester;Involved in waste degradation;;;;;
G;Herminiimonas;PP;1;E;Environmental;Soil, Freshwater;Environmental betaproteobacterium;;;;;
;Herpetosiphon;N;N;E;Environmental;Freshwater, soil;Gliding bacterium;;;;;
G;Hespellia;PP;1;E;Environmental;Gut (ruminants);Anaerobe in ruminant gut;;;;;
;Hirschia;N;N;E;Environmental;Marine;Marine prosthecate bacterium;;;;;
;Histidinibacterium;N;N;E;Environmental;Soil;Soil bacterium;;;;;
;Hoeflea;N;N;E;Environmental;Marine, soil;Environmental alphaproteobacterium;;;;;
;Holdemanella;N;N;W;Anthropogenic;Human, Gut;Gut microbiome genus;;;;;
G;Holdemania;PP;1;W;Anthropogenic;Human, Gut;Gut commensal, opportunistic;;;;;
;Holophaga;N;N;E;Environmental;Soil, wetlands;Acidobacterium genus;;;;;
;Holophagaceae;N;N;E;Environmental;Soil, wetlands;Acidobacteria family;;;;;
;Holophagae Subgroup 7;N;N;E;Environmental;Environment;Environmental subgroup;;;;;
;Holospora;N;N;E;Environmental;Protist symbionts;Symbionts of ciliates;;;;;
;Holospora curviuscula;N;N;E;Environmental;Protist symbionts;Symbiont of ciliates;;;;;
S;Holospora elegans;N;1;E;Environmental;Host organism, Protist symbionts;Symbiont of ciliates;;;;;
S;Holospora obtusa;N;1;E;Environmental;Host organism, Protist symbionts;Symbiont of ciliates;;;;;
S;Holospora undulata;N;1;E;Environmental;Host organism, Protist symbionts;Symbiont of ciliates;;;;;
;Holosporaceae;N;N;E;Environmental;Protist;Family of intracellular symbionts;;;;;
;Homoserinibacter;N;N;E;Environmental;Soil;Environmental bacterium;;;;;
;Hoppeia;N;N;E;Environmental;Marine;Marine alphaproteobacterium;;;;;
;Hormoscilla SI04-45;N;N;E;Environmental;Cyanobacterium, soil;Filamentous cyanobacterium;;;;;
;Howardella;N;N;W;Anthropogenic;Human, Gut;Gut-associated bacterium;;;;;
G;Hoyosella;PP;1;E;Environmental;Soil;Environmental bacterium;;;;;
;Huanghella;N;N;E;Environmental;Soil;Environmental actinobacterium;;;;;
;Humibacter;N;N;E;Environmental;Soil;Actinobacterium isolated from humus-rich soil;;;;;
;Humidesulfovibrio;N;N;E;Environmental;Sediment, anaerobic;Sulfate-reducing bacterium;;;;;
;Humitalea;N;N;E;Environmental;Soil;Soil actinobacterium;;;;;
;Hungateiclostridiaceae;N;N;E;Environmental;Animal gut, Rumen;Family of anaerobic fermenters;;;;;
;Hungateiclostridiaceae HN-HF0106;N;N;E;Environmental;Animal gut;Rumen-associated lineage;;;;;
;Hungateiclostridiaceae UCG-012;N;N;E;Environmental;Animal gut;Rumen microbiome group;;;;;
;Hungateiclostridium;N;N;E;Environmental;Rumen, gut;Anaerobic cellulose-degrading bacteria;;;;;
;Hwangdonia;N;N;E;Environmental;Soil;Environmental bacterium;;;;;
;Hyalangium;N;N;E;Environmental;Soil;Myxobacterium, spore-forming;;;;;
;Hydrobacter;N;N;E;Environmental;Freshwater;Environmental bacterium;;;;;
;Hydrocarboniphaga;N;N;O;Ubiquitous;Marine, hydrocarbon-rich;Hydrocarbon degrader, bioremediation potential;;;;;
;Hydrogenedensaceae;N;N;E;Environmental;Deep-sea hydrothermal vents;Chemolithoautotrophic family;;;;;
;Hydrogenedensaceae YC-ZSS-LKJ63;N;N;E;Environmental;Hydrothermal vents;Vent-associated lineage;;;;;
;Hydrogenispora;N;N;O;Ubiquitous;Anaerobic sludge, soil;Spore-forming anaerobes;;;;;
;Hydrogenoanaerobacterium;N;N;W;Anthropogenic;Anaerobic sludge;Hydrogen-producing bacterium;;;;;
S;Hydrogenoanaerobacterium saccharovorans;N;1;W;Anthropogenic;Anaerobic sludge;Hydrogen producer, ferments sugars;;;;;
;Hydrogenophaga;N;N;O;Ubiquitous;Freshwater, soil, Wastewater;Hydrogen-oxidizing betaproteobacteria;;;;;
S;Hydrogenophaga atypica;N;1;E;Environmental;Freshwater;Environmental hydrogen oxidizer;;;;;
S;Hydrogenophaga defluvii;N;1;W;Anthropogenic;Wastewater;Found in wastewater treatment systems;;;;;
S;Hydrogenophaga flava;N;1;E;Environmental;Freshwater;Environmental bacterium;;;;;
S;Hydrogenophaga pseudoflava;N;1;O;Ubiquitous;Freshwater, Wastewater;Environmental, also used in biodegradation;;;;;
S;Hydrogenophaga taeniospiralis;N;1;E;Environmental;Freshwater;Environmental hydrogen oxidizer;;;;;
;Hydrogenophilaceae;N;N;E;Environmental;Hot springs, sulfur-rich;Thermophilic sulfur oxidizers;;;;;
;Hydrogenophilus;N;N;E;Environmental;Hot springs;Thermophilic, sulfur-oxidizing bacterium;;;;;
;Hydrogenovibrio;N;N;E;Environmental;Hydrothermal vents;Chemolithoautotrophic sulfur oxidizers;;;;;
S;Hydrotalea flava;N;1;E;Environmental;Freshwater;Environmental bacterium;;;;;
S;Hylemonella gracilis;N;1;E;Environmental;Freshwater;Ultra-small freshwater bacterium;;;;;
;Hymenobacter;N;N;E;Environmental;Soil, cold, desert environments;Radiation-, stress-resistant genus;;;;;
;Hymenobacter sp APR13;N;N;E;Environmental;Antarctic soil;Cold-adapted strain;;;;;
;Hypericibacter;N;N;E;Environmental;Plant (Hypericum);Plant-associated bacterium;;;;;
;Hyphobacterium;N;N;E;Environmental;Freshwater, soil;Budding bacterium;;;;;
;Hyphococcus;N;N;E;Environmental;Soil;Environmental bacterium;;;;;
;Hyphomicrobiaceae;N;N;E;Environmental;Soil, Freshwater;Family of budding Alphaproteobacteria;;;;;
;Hyphomicrobiales;N;N;E;Environmental;Soil, Freshwater;Order of budding Alphaproteobacteria;;;;;
;Hyphomicrobiales A0839;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Hyphomicrobiales Amb-16S-1323;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Hyphomicrobiales C2U;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Hyphomicrobiales D05-2;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Hyphomicrobiales Incertae Sedis;N;N;E;Environmental;Soil;Unclassified lineage;;;;;
;Hyphomicrobiales KF-JG30-B3;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Hyphomicrobium;N;N;O;Ubiquitous;Freshwater, Wastewater;Methylotrophic bacterium, environmental, treatment plants;;;;;
;Hyphomonadaceae;N;N;E;Environmental;Marine;Family of marine budding bacteria;;;;;
;Hyphomonadaceae SWB02;N;N;E;Environmental;Marine;Marine lineage;;;;;
;Hyphomonadaceae UKL13-1;N;N;E;Environmental;Marine;Marine lineage;;;;;
;Hyphomonas;N;N;E;Environmental;Marine;Marine budding bacterium;;;;;
S;Hyphomonas adhaerens;N;1;E;Environmental;Marine;Forms biofilms on surfaces;;;;;
;Hypnocyclicus;N;N;E;Environmental;Rumen (animals);Anaerobic rumen bacterium;;;;;
;Hyunsoonleella;N;N;E;Environmental;Marine;Marine flavobacterium;;;;;
;Iamia;N;N;E;Environmental;Soil;Soil actinobacterium;;;;;
;Ichthyenterobacterium;N;N;E;Environmental;Fish;Associated with fish microbiome;;;;;
;Ideonella;N;N;O;Ubiquitous;Soil, Freshwater, plastic-polluted sites;Some degrade plastics (e.g., PETase producer);;;;;
G;Idiomarina;PP;1;E;Environmental;Marine;Marine gammaproteobacterium;;;;;
S;Idiomarina baltica;N;1;E;Environmental;Marine;Baltic Sea isolate;;;;;
S;Idiomarina loihiensis;N;1;E;Environmental;Hydrothermal vents;Deep-sea bacterium;;;;;
S;Idiomarina ramblicola;N;1;E;Environmental;Saline soils;Halotolerant bacterium;;;;;
S;Idiomarina seosinensis;N;1;E;Environmental;Marine, hypersaline;Halotolerant bacterium;;;;;
S;Idiomarina zobellii;N;1;E;Environmental;Deep sea;Marine bacterium;;;;;
G;Ignatzschineria;PP;1;W;Anthropogenic;Flies, Clinical;Found in fly larvae, opportunistic infections;;;;;
;Ignavibacteria SJA-28;N;N;E;Environmental;Hot springs, Sediment;Environmental lineage;;;;;
;Ignavibacteriales;N;N;E;Environmental;Hot springs, Sediment;Order of anaerobic thermophiles;;;;;
;Ignavibacteriales LD-RB-34;N;N;E;Environmental;Hot springs, Sediment;Environmental lineage;;;;;
;Ignavibacteriales PHOS-HE36;N;N;E;Environmental;Hot springs, Sediment;Environmental lineage;;;;;
;Ignavibacteriales SR-FBR-L83;N;N;E;Environmental;Hot springs, Sediment;Environmental lineage;;;;;
;Ignavibacterium;N;N;E;Environmental;Hot springs, Sediment;Anaerobic thermophile;;;;;
;Ignavigranum;P;2;W;Anthropogenic;Human, Clinical;Opportunistic pathogen;;;;;
;Ignavigranum ruoffiae;P;2;W;Anthropogenic;Human, Clinical;Opportunistic pathogen;;;;;
;Ileibacterium;N;N;E;Environmental;Animal gut;Gut-associated bacterium;;;;;
;Ilumatobacter;N;N;E;Environmental;Marine sediment, soil;Actinobacterium;;;;;
;Ilumatobacter nonamiensis;N;N;E;Environmental;Marine sediment;Marine actinobacterium;;;;;
;Ilumatobacteraceae;N;N;E;Environmental;Marine sediment;Family of actinobacteria;;;;;
;Ilumatobacteraceae CL500-29 marine group;N;N;E;Environmental;Marine;Marine clade;;;;;
G;Ilyobacter;PP;1;E;Environmental;Anaerobic Sediment;Fermentative bacterium;;;;;
;Immundisolibacteraceae;N;N;E;Environmental;Soil;Environmental family;;;;;
;Imtechella;N;N;E;Environmental;Marine;Marine flavobacterium;;;;;
;Inhella;N;N;E;Environmental;Soil;Environmental bacterium;;;;;
;Inmirania;N;N;E;Environmental;Hydrothermal vent;Chemolithoautotroph;;;;;
G;Inquilinus;PP;1;W;Anthropogenic;Human, lungs, cystic fibrosis;Opportunistic pathogen;;;;;
;Insolitispirillum;N;N;E;Environmental;Freshwater;Environmental bacterium;;;;;
;Intestinibacter;N;N;E;Environmental;Animal gut;Gut-associated bacterium;;;;;
;Intestinimonas;N;N;E;Environmental;Animal gut;Butyrate-producing gut bacterium;;;;;
;Intrasporangiaceae;N;N;E;Environmental;Soil;Actinobacteria family;;;;;
G;Intrasporangium;PP;1;E;Environmental;Soil;Environmental actinobacterium;;;;;
;Iodidimonas;N;N;E;Environmental;Iodine-rich brines;Halophilic bacterium;;;;;
;Iodobacter;N;N;E;Environmental;Freshwater;Environmental bacterium;;;;;
;Irregularibacter;N;N;W;Anthropogenic;Anaerobic sludge;Environmental bacterium;;;;;
G;Isoptericola;PP;1;E;Environmental;Soil, Insects;Actinobacterium, sometimes insect-associated;;;;;
;Isosphaera;N;N;E;Environmental;Hot springs;Planctomycete;;;;;
;Isosphaeraceae;N;N;E;Environmental;Hot springs;Family of Planctomycetes;;;;;
;Izemoplasmataceae;N;N;E;Environmental;Marine Sediment;Candidate family (Mollicutes-related);;;;;
;Izemoplasmatales;N;N;E;Environmental;Marine Sediment;Candidate order;;;;;
;Izimaplasma;N;N;E;Environmental;Marine Sediment;Candidate genus;;;;;
;Jahnella;N;N;E;Environmental;Soil;Actinobacterium;;;;;
G;Janibacter;PP;1;O;Ubiquitous;Soil, Wastewater;Environmental, opportunistic pathogen;;;;;
S;Janibacter cremeus;N;1;E;Environmental;Soil;Environmental strain;;;;;
;Jannaschia;N;N;E;Environmental;Marine;Marine Alphaproteobacterium;;;;;
S;Jannaschia cystaugens;N;1;E;Environmental;Marine;Marine bacterium;;;;;
S;Jannaschia rubra;N;1;E;Environmental;Marine;Red-pigmented bacterium;;;;;
S;Jannaschia seosinensis;N;1;E;Environmental;Marine, hypersaline;Halotolerant bacterium;;;;;
;Janthinobacterium;N;N;E;Environmental;Soil, Freshwater;Known for violacein pigment, some opportunists;;;;;
;Janthinobacterium lividum;N;N;E;Environmental;Soil, amphibian skin;Protective symbiont against chytrid fungus;;;;;
S;Janthinobacterium sp 1 2014MBL MicDiv;N;1;E;Environmental;Freshwater;Environmental isolate;;;;;
;Janthinobacterium sp 61;N;N;E;Environmental;Freshwater;Environmental isolate;;;;;
;Janthinobacterium sp 64;N;N;E;Environmental;Freshwater;Environmental isolate;;;;;
;Janthinobacterium sp AD80;N;N;E;Environmental;Freshwater;Environmental isolate;;;;;
;Janthinobacterium sp PC23 8;N;N;E;Environmental;Freshwater;Environmental isolate;;;;;
;Janthinobacterium sp ROICE36;N;N;E;Environmental;Antarctic Freshwater;Cold-adapted isolate;;;;;
;Janthinobacterium sp S3 2;N;N;E;Environmental;Soil, Freshwater;Environmental isolate;;;;;
;Janthinobacterium sp TND4EL3;N;N;E;Environmental;Freshwater;Environmental isolate;;;;;
;Janthinobacterium svalbardensis;N;N;E;Environmental;Arctic soil;Cold-adapted;;;;;
;Jatrophihabitans;N;N;E;Environmental;Plant (Jatropha);Endophytic actinobacterium;;;;;
;Jejudonia;N;N;E;Environmental;Marine;Marine bacterium;;;;;
;Jeotgalibaca;N;N;W;Anthropogenic;Fermented seafood;Halophilic bacterium from jeotgal (Korean food);;;;;
;Jeotgalibacillus;N;N;W;Anthropogenic;Fermented seafood;Halophilic, food-associated;;;;;
G;Jeotgalicoccus;PP;1;W;Anthropogenic;Fermented seafood;Halophilic staphylococci;;;;;
;Johnsonella;P;2;W;Anthropogenic;Human, Oral cavity;Oral microbiome member;;;;;
;Jonesia;P;2;O;Ubiquitous;Soil, Clinical;Actinobacterium, occasionally pathogenic;;;;;
;Jonquetella;P;2;W;Anthropogenic;Human, Gut;Rare human-associated bacterium;;;;;
;Joostella;N;N;E;Environmental;Marine;Marine flavobacterium;;;;;
S;Joostella marina;N;1;E;Environmental;Marine;Marine bacterium;;;;;
;Kaistia;N;N;E;Environmental;Soil;Environmental bacterium;;;;;
;Kallotenuales AKIW781;N;N;E;Environmental;Marine Sediment;Candidate lineage;;;;;
;Kamptonema PCC-6407;N;N;E;Environmental;Freshwater (cyanobacterium);Filamentous cyanobacterium;;;;;
;Kandleria;N;N;W;Anthropogenic;Human, Gut;Lactobacillales, gut-associated;;;;;
G;Kangiella;PP;1;E;Environmental;Marine;Marine gammaproteobacterium;;;;;
;Kangiellaceae;N;N;E;Environmental;Marine;Family of marine bacteria;;;;;
;Kapabacteriales;N;N;E;Environmental;Marine Sediment;Candidate order;;;;;
;Kazania;N;N;E;Environmental;Soil;Actinobacterium;;;;;
;Kerstersia;N;N;W;Anthropogenic;Human, Clinical;Opportunistic pathogen;;;;;
;Ketobacter;N;N;E;Environmental;Marine;Marine bacterium;;;;;
G;Kibdelosporangium;PP;1;E;Environmental;Soil;Antibiotic-producing actinobacterium;;;;;
;Kiloniella;N;N;E;Environmental;Marine;Marine bacterium;;;;;
S;Kiloniella majae;N;1;E;Environmental;Marine;Marine isolate;;;;;
;Kiloniellaceae;N;N;E;Environmental;Marine;Marine family;;;;;
;Kiloniellales;N;N;E;Environmental;Marine;Marine order;;;;;
;Kineobactrum;N;N;E;Environmental;Soil;Environmental bacterium;;;;;
;Kineococcus;N;N;E;Environmental;Soil;Radiation-resistant actinobacterium;;;;;
;Kineosphaera;N;N;E;Environmental;Soil;Environmental bacterium;;;;;
;Kineosporia;N;N;E;Environmental;Soil, decaying Plant;Actinobacterium;;;;;
;Kineosporiaceae;N;N;E;Environmental;Soil;Actinobacteria family;;;;;
;Kingella;P;2;W;Anthropogenic;Human, Respiratory tract;Human pathogen (e.g., K. kingae);;;;;
;Kinneretia;N;N;E;Environmental;Freshwater;Environmental bacterium;;;;;
;Kiritimatiellaceae;N;N;E;Environmental;Marine Sediment;Verrucomicrobia-related family;;;;;
;Kiritimatiellaceae MSBL3;N;N;E;Environmental;Marine Sediment;Marine clade;;;;;
;Kiritimatiellaceae R76-B128;N;N;E;Environmental;Marine Sediment;Marine clade;;;;;
;Kiritimatiellae;N;N;E;Environmental;Marine Sediment;Candidate phylum;;;;;
;Kiritimatiellae 113B434;N;N;E;Environmental;Marine Sediment;Candidate lineage;;;;;
;Kiritimatiellia WCHB1-41;N;N;E;Environmental;Marine Sediment;Candidate genus;;;;;
;Kistimonas;N;N;E;Environmental;Marine;Marine gammaproteobacterium;;;;;
;Kitasatospora;N;N;E;Environmental;Soil;Antibiotic-producing actinobacterium;;;;;
;Klebsiella;P;2;W;Anthropogenic;Human, animals, soil, Water;Opportunistic pathogen, some environmental;;;;;
;Klebsiella pneumoniae;P;2;W;Anthropogenic;Human, Clinical;Major opportunistic pathogen;;;;;
;Klenkia;N;N;E;Environmental;Soil;Actinobacterium;;;;;
G;Klugiella;PP;1;E;Environmental;Soil;Actinobacterium;;;;;
;Kluyvera;P;2;W;Anthropogenic;Human, Environment;Opportunistic pathogen;;;;;
G;Knoellia;PP;1;E;Environmental;Soil;Actinobacterium;;;;;
G;Kocuria;PP;1;O;Ubiquitous;Soil, Skin, Clinical;Environmental, some opportunists;;;;;
S;Kocuria kristinae;N;1;W;Anthropogenic;Human, Skin, Clinical;Opportunistic pathogen;;;;;
S;Kocuria polaris;N;1;E;Environmental;Antarctic soil;Cold-adapted strain;;;;;
S;Kocuria rosea;N;1;O;Ubiquitous;Soil, Clinical;Environmental, sometimes opportunistic;;;;;
;Kofleria;N;N;E;Environmental;Soil;Myxobacterium;;;;;
;Kordia;N;N;E;Environmental;Marine;Marine flavobacterium;;;;;
S;Kordia aquimaris;N;1;E;Environmental;Marine;Marine flavobacterium;;;;;
S;Kordia zosterae;N;1;E;Environmental;Marine (seagrass);Marine bacterium;;;;;
;Kordiimonadales;N;N;E;Environmental;Marine;Marine order;;;;;
;Kordiimonas;N;N;E;Environmental;Marine;Marine bacterium;;;;;
;Kosmotogaceae;N;N;O;Ubiquitous;Hydrothermal vents, Oil reservoirs;Thermophilic family;;;;;
;Kouleothrix;N;N;W;Anthropogenic;Activated sludge (Wastewater);Filamentous bacterium causing bulking;;;;;
;Kribbella;N;N;E;Environmental;Soil;Actinobacterium;;;;;
;Kriegella;N;N;E;Environmental;Marine;Marine bacterium;;;;;
;Kroppenstedtia;N;N;E;Environmental;Soil;Thermophilic actinobacterium;;;;;
;Kryptoniales BSV26;N;N;E;Environmental;Marine Sediment;Candidate lineage;;;;;
;Kryptoniales MSB-3C8;N;N;E;Environmental;Marine Sediment;Candidate lineage;;;;;
;Ktedonobacter;N;N;E;Environmental;Soil;Large-genome actinobacterium;;;;;
;Ktedonobacteraceae;N;N;E;Environmental;Soil;Actinobacteria family;;;;;
;Ktedonobacteraceae FCPS473;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Ktedonobacteraceae G12-WMSP1;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Ktedonobacteraceae JG30a-KF-32;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Ktedonobacterales;N;N;E;Environmental;Soil;Actinobacteria order;;;;;
;Ktedonobacterales 1921-2;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Ktedonobacterales 1921-3;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Ktedonobacterales JG30-KF-AS9;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Ktedonobacteria B12-WMSP1;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Ktedonobacteria C0119;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Ktedonobacteria MVP-21;N;N;E;Environmental;Soil;Environmental lineage;;;;;
;Kyrpidia;N;N;E;Environmental;Hot springs;Thermophilic hydrogen-oxidizer;;;;;
;Kytococcus;PP;2;O;Ubiquitous;Soil, skin;Environmental, some opportunists;;;;;
S;Kytococcus sedentarius;N;1;W;Anthropogenic;Human skin;Opportunistic pathogen;;;;;
;Labilibacter;N;N;E;Environmental;Marine Sediment;Environmental bacterium;;;;;
;Labilithrix;N;N;E;Environmental;Soil;Myxobacterium;;;;;
;Labrenzia;P;2;E;Environmental;Marine;Marine Alphaproteobacterium;;;;;
;Labrys;N;N;E;Environmental;Soil;Alphaproteobacterium;;;;;
;Laceyella;N;N;E;Environmental;Soil;Thermophilic actinobacterium;;;;;
;Lachnoanaerobaculum;N;N;W;Anthropogenic;Human, Oral cavity;Oral microbiome member;;;;;
;Lachnobacterium;N;N;E;Environmental;Animal gut;Gut-associated bacterium;;;;;
;Lachnoclostridium;N;N;W;Anthropogenic;Human, Gut;Opportunistic gut bacterium;;;;;
;Lachnospira;N;N;E;Environmental;Animal gut;Butyrate-producing gut bacterium;;;;;
S;Lachnospira pectinoschiza;N;1;E;Environmental;Animal gut;Gut bacterium;;;;;
;Lachnospiraceae;N;N;E;Environmental;Animal gut;Major family in gut microbiota;;;;;
;Lachnospiraceae AC2044 group;N;N;E;Environmental;Animal gut;Gut lineage;;;;;
;Lachnospiraceae ASF356;N;N;E;Environmental;Mouse gut;Gut lineage;;;;;
;Lachnospiraceae CAG-56;N;N;E;Environmental;Human, Gut;Gut lineage;;;;;
;Lachnospiraceae FCS020 group;N;N;W;Anthropogenic;Gut;Gut lineage;;;;;
;Lachnospiraceae FD2005;N;N;E;Environmental;Gut;Gut lineage;;;;;
;Lachnospiraceae FE2018 group;N;N;E;Environmental;Gut;Gut lineage;;;;;
;Lachnospiraceae GCA-900066755;N;N;E;Environmental;Gut;Gut lineage;;;;;
;Lachnospiraceae Incertae Sedis;N;N;E;Environmental;Gut;Unclassified gut lineage;;;;;
;Lachnospiraceae NC2004 group;N;N;E;Environmental;Gut;Gut lineage;;;;;
;Lachnospiraceae ND3007 group;N;N;E;Environmental;Gut;Gut lineage;;;;;
;Lachnospiraceae NK3A20 group;N;N;E;Environmental;Gut;Gut lineage;;;;;
;Lachnospiraceae NK4A136 group;N;N;E;Environmental;Gut;Gut lineage;;;;;
;Lachnospiraceae NK4B4 group;N;N;E;Environmental;Gut;Gut lineage;;;;;
;Lachnospiraceae possible genus Sk018;N;N;E;Environmental;Gut;Candidate gut genus;;;;;
;Lachnospiraceae probable genus 10;N;N;E;Environmental;Gut;Candidate gut genus;;;;;
;Lachnospiraceae UCG-001;N;N;E;Environmental;Gut;Candidate gut group;;;;;
;Lachnospiraceae UCG-002;N;N;E;Environmental;Gut;Candidate gut group;;;;;
;Lachnospiraceae UCG-003;N;N;E;Environmental;Gut;Candidate gut group;;;;;
;Lachnospiraceae UCG-004;N;N;E;Environmental;Gut;Candidate gut group;;;;;
;Lachnospiraceae UCG-006;N;N;E;Environmental;Gut;Candidate gut group;;;;;
;Lachnospiraceae UCG-007;N;N;E;Environmental;Gut;Candidate gut group;;;;;
;Lachnospiraceae UCG-008;N;N;E;Environmental;Gut;Candidate gut group;;;;;
;Lachnospiraceae UCG-009;N;N;E;Environmental;Gut;Candidate gut group;;;;;
;Lachnospiraceae UCG-010;N;N;E;Environmental;Gut;Candidate gut group;;;;;
;Lachnospiraceae XBB1006;N;N;W;Anthropogenic;Gut;Candidate gut lineage;;;;;
;Lachnospiraceae XPB1014 group;N;N;W;Anthropogenic;Gut;Candidate gut lineage;;;;;
;Lachnospirales;N;N;E;Environmental;Gut;Order of gut bacteria;;;;;
;Lachnotalea;N;N;E;Environmental;Gut;Gut-associated bacterium;;;;;
;Lacibacter;N;N;E;Environmental;Freshwater, soil;Environmental bacterium;;;;;
;Lacibacterium;N;N;E;Environmental;Freshwater;Environmental bacterium;;;;;
;Lacihabitans;N;N;E;Environmental;Freshwater;Environmental bacterium;;;;;
S;Lacihabitans soyangensis;N;1;E;Environmental;Freshwater;Environmental bacterium;;;;;
;Lacimicrobium;N;N;E;Environmental;Freshwater;Environmental bacterium;;;;;
;Lacimonas;N;N;E;Environmental;Freshwater;Environmental bacterium;;;;;
;Lacinutrix;N;N;E;Environmental;Marine;Marine flavobacterium;;;;;
;Lacticaseibacillus;N;N;W;Anthropogenic;Gut, Fermented foods;Probiotic, used in dairy fermentations;;;;;
;Lactiplantibacillus;N;N;W;Anthropogenic;Fermented food, gut;Food fermenter, probiotic;;;;;
;Lactivibrio;N;N;W;Anthropogenic;Gut;Anaerobic, associated with fermentation and sludge;;;;;
;Lactobacillaceae;N;N;W;Anthropogenic;Gut, fermented food;Family includes probiotics, fermenters;;;;;
;Lactobacillaceae HT002;N;N;W;Anthropogenic;Wastewater, Anaerobic digesters;Environmental cluster from sludge systems;;;;;
;Lactobacillales;N;N;O;Ubiquitous;Gut, fermented food;Lactic acid bacteria order;;;;;
;Lactobacillales P5D1-392;N;N;E;Environmental;Gut;Gut lineage;;;;;
G;Lactobacillus;PP;1;O;Ubiquitous;Gut, fermented food, Plants;Probiotics, fermenters;;;;;
S;Lactobacillus amylovorus;N;1;O;Ubiquitous;Gut, food;Probiotic, fermenter;;;;;
S;Lactobacillus crispatus;N;1;W;Anthropogenic;Human, Vagina;Protective commensal;;;;;
;Lactococcus;P;2;W;Anthropogenic;Dairy, gut;Dairy starter culture;;;;;
S;Lactococcus piscium;N;1;O;Ubiquitous;Fish, seafood;Food-associated;;;;;
;Lactonifactor;N;N;W;Anthropogenic;Human, Gut;Gut bacterium (drug metabolism);;;;;
;Lactovum;N;N;E;Environmental;Freshwater;Environmental bacterium;;;;;
;Lacunisphaera;N;N;E;Environmental;Freshwater habitats;Associated with lakes, freshwater systems;;;;;
;Lamprocystis;N;N;E;Environmental;Sulfur-rich environment, Water;Purple sulfur bacteria, anaerobic phototrophs;;;;;
;Lampropedia;N;N;E;Environmental;Freshwater;Found in aquatic habitats;;;;;
;Lancefieldella parvula;P;2;E;Environmental;Animal gut;Linked to gut microbiota of humans, animals;;;;;
;Lapidilactobacillus;N;N;W;Anthropogenic;Fermented food, animal gut;Lactic acid bacterium, food-associated;;;;;
;Lapillicoccus;N;N;E;Environmental;Soil;Found in terrestrial ecosystems;;;;;
G;Laribacter;PP;1;E;Environmental;Water;"Found in freshwater; includes opportunistic pathogen L. hongkongensis";;;;;
;Laribacter hongkongensis;P;2;E;Environmental;Human, Gut, Freshwater, Fish;Opportunistic pathogen linked to gastroenteritis;;;;;
;Larkinella;N;N;E;Environmental;Soil, Freshwater;Environmental bacterium, part of Sphingobacteriia;;;;;
;Latescibacteraceae;N;N;E;Environmental;Marine;Bacteroidetes, ocean-associated;;;;;
;Latescibacterota;N;N;E;Environmental;Marine Sediment;Candidate phylum, involved in organic matter degradation;;;;;
;Latilactobacillus;N;N;W;Anthropogenic;Food fermentations, gut;Found in dairy, fermented vegetables, intestines;;;;;
G;Lautropia;PP;1;W;Anthropogenic;Human, Oral cavity;Oral microbiota, occasional opportunist;;;;;
S;Lautropia mirabilis;N;1;W;Anthropogenic;Oral cavity;Part of oral flora, occasionally pathogenic;;;;;
;Lawsonella;N;N;W;Anthropogenic;Human;Opportunistic pathogen, rare infections;;;;;
;Lawsonia;P;2;E;Environmental;Animal gut;Lawsonia intracellularis, causes enteritis in swine;;;;;
G;Leeuwenhoekiella;PP;1;E;Environmental;Marine;Sea-associated flavobacteria;;;;;
;Legionella;P;2;O;Ubiquitous;Freshwater systems;Opportunistic pathogen in anthropogenic water systems;;;;;
;Legionella donaldsonii;N;N;O;Ubiquitous;Water, Water systems;Related to Legionnaires’ disease ecology;;;;;
F;Legionellaceae;PP;N;O;Ubiquitous;Freshwater, Water systems;Includes pathogens like Legionella pneumophila;;;;;
G;Leifsonia;PP;1;E;Environmental;Soil, Water, Plant roots;Environmental Actinobacteria;;;;;
;Leisingera;N;N;E;Environmental;Marine;Isolated from seawater, marine organisms;;;;;
